No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
276.0,20260518,부산,북부산,해운대마린(집),236.0,303.0,-67.0,128.4%
277.0,20260518,부산,북부산,해운대반여(집),428.0,472.0,-44.0,110.3%
278.0,20260518,부산,북부산,해운대북(집),439.0,479.0,-40.0,109.1%
279.0,20260518,부산,북부산,해운대좌동(집),245.0,210.0,35.0,85.7%
280.0,20260518,부산,북부산,해운대중동(집),563.0,573.0,-10.0,101.8%
281.0,20260518,부천,광명,광명(집),720.0,821.0,-101.0,114%
282.0,20260518,부천,광명,역곡(집),575.0,648.0,-73.0,112.7%
283.0,20260518,부천,광명,철산(집),182.0,209.0,-27.0,114.8%
284.0,20260518,부천,광명,하안본(집),973.0,1195.0,-222.0,122.8%
285.0,20260518,부천,부천,삼정(집),497.0,516.0,-19.0,103.8%
286.0,20260518,부천,부천,소사중앙(집),570.0,620.0,-50.0,108.8%
287.0,20260518,부천,부천,오정(집),798.0,859.0,-61.0,107.6%
288.0,20260518,부천,부천,옥길(집),403.0,468.0,-65.0,116.1%
289.0,20260518,부천,부천,원미(집),764.0,801.0,-37.0,104.8%
290.0,20260518,부천,부천송내,상동본(집),342.0,369.0,-27.0,107.9%
291.0,20260518,부천,부천송내,상동중앙(집),540.0,525.0,15.0,97.2%
292.0,20260518,부천,부천송내,송내본(집),491.0,529.0,-38.0,107.7%
293.0,20260518,부천,부천송내,중동(집),631.0,648.0,-17.0,102.7%
294.0,20260518,부평,검단,검단(집),1060.0,1220.0,-160.0,115.1%
295.0,20260518,부평,검단,아라(집),925.0,1034.0,-109.0,111.8%
296.0,20260518,부평,부평,갈산(집),807.0,880.0,-73.0,109%
297.0,20260518,부평,부평,부평부개(집),998.0,1066.0,-68.0,106.8%
298.0,20260518,부평,부평,부평삼산(집),273.0,314.0,-41.0,115%
299.0,20260518,부평,부평,산곡(집),516.0,559.0,-43.0,108.3%
300.0,20260518,부평,부평,청천(집),659.0,748.0,-89.0,113.5%
301.0,20260518,부평,서인천,가좌(집),545.0,604.0,-59.0,110.8%
302.0,20260518,부평,서인천,계산(집),607.0,542.0,65.0,89.3%
303.0,20260518,부평,서인천,계양(집),301.0,323.0,-22.0,107.3%
304.0,20260518,부평,서인천,서구연희(집),634.0,675.0,-41.0,106.5%
305.0,20260518,부평,서인천,신석남(집),243.0,405.0,-162.0,166.7%
306.0,20260518,부평,서인천,작전(집),608.0,525.0,83.0,86.3%
307.0,20260518,부평,서인천,효성(집),414.0,445.0,-31.0,107.5%
308.0,20260518,부평,청라,청라(집),1530.0,1409.0,121.0,92.1%
309.0,20260518,분당,경기광주,성남금광(집),174.0,237.0,-63.0,136.2%
310.0,20260518,분당,곤지암,곤지암(집),1178.0,1263.0,-85.0,107.2%
311.0,20260518,분당,곤지암,초월(집),366.0,534.0,-168.0,145.9%
312.0,20260518,분당,곤지암(태전),경안(집),1091.0,1163.0,-72.0,106.6%
313.0,20260518,분당,분당,분당정자(집),1150.0,1346.0,-196.0,117%
314.0,20260518,분당,분당,판교(집),1045.0,1096.0,-51.0,104.9%
315.0,20260518,분당,성남,금토(집),223.0,252.0,-29.0,113%
316.0,20260518,분당,성남,상대원(집),272.0,327.0,-55.0,120.2%
317.0,20260518,분당,성남,성남중원(집),600.0,637.0,-37.0,106.2%
318.0,20260518,분당,성남,신흥(집),537.0,550.0,-13.0,102.4%
319.0,20260518,분당,수정,성남수진(집),486.0,457.0,29.0,94%
320.0,20260518,분당,수정,창곡(집),200.0,170.0,30.0,85%
321.0,20260518,분당,신분당,분당구미(집),650.0,674.0,-24.0,103.7%
322.0,20260518,분당,신분당,분당서현(집),829.0,569.0,260.0,68.6%
323.0,20260518,분당,오포,광주오포(집),422.0,451.0,-29.0,106.9%
324.0,20260518,분당,오포,신오포(집),631.0,679.0,-48.0,107.6%
325.0,20260518,서부산,부산강서,부산대저(집),565.0,601.0,-36.0,106.4%
326.0,20260518,서부산,부산강서,하단명지(집),1342.0,1466.0,-124.0,109.2%
327.0,20260518,서부산,사하,개금(집),186.0,211.0,-25.0,113.4%
328.0,20260518,서부산,사하,다대(집),299.0,336.0,-37.0,112.4%
329.0,20260518,서부산,사하,범천(집),358.0,376.0,-18.0,105%
330.0,20260518,서부산,사하,신평(집),390.0,386.0,4.0,99%
331.0,20260518,서부산,서부산,감전(집),400.0,428.0,-28.0,107%
332.0,20260518,서부산,서부산,괘법(집),439.0,482.0,-43.0,109.8%
333.0,20260518,서부산,서부산,엄궁(집),344.0,370.0,-26.0,107.6%
334.0,20260518,서부산,중부산,국제시장(집),40.0,15.0,25.0,37.5%
335.0,20260518,서부산,중부산,동래사직(집),251.0,261.0,-10.0,104%
336.0,20260518,서부산,중부산,동래온천(집),586.0,638.0,-52.0,108.9%
337.0,20260518,서부산,중부산,동래중앙(집),220.0,199.0,21.0,90.5%
338.0,20260518,서부산,중부산,범일(집),300.0,333.0,-33.0,111%
339.0,20260518,서부산,중부산,안락남포(집),538.0,582.0,-44.0,108.2%
340.0,20260518,서부산,중부산,초량(집),246.0,271.0,-25.0,110.2%
341.0,20260518,서산당진,당진,송악(집),481.0,476.0,5.0,99%
342.0,20260518,서산당진,당진,수청(집),854.0,876.0,-22.0,102.6%
343.0,20260518,서산당진,동서산,석림(집),873.0,947.0,-74.0,108.5%
344.0,20260518,서산당진,동서산,수석(집),694.0,712.0,-18.0,102.6%
345.0,20260518,서산당진,보령,보령(집),521.0,595.0,-74.0,114.2%
